1611666252,145.71
1611666253,146.89
1611666254,145.73
1611666255,145
1611666256,145.9
1611666257,145.88
1611666258,146.76
1611666259,146.16
1611666260,146.41
1611666261,146.5
1611666262,146.19
1611666263,227.53
1611666264,217.43
1611666265,159.69
1611666266,147.85
1611666267,146.86
1611666268,146.11
1611666269,146.27
1611666270,146.06
1611666271,146.27
1611666272,146.01
1611666273,145.13
1611666274,145.23
1611666275,145.66
1611666276,146.78
1611666277,145.51
1611666278,145.67
1611666279,227.79
1611666280,218.39
1611666281,160.27
1611666282,143.28
1611666283,143.2
1611666284,142.63
1611666285,142.83
1611666286,143.59
1611666287,142.78
1611666288,142.08
1611666289,142.15
1611666290,143.25
1611666291,142.59
1611666292,142.66
1611666293,144.05
1611666294,143.24
1611666295,223.7
1611666296,213
1611666297,182.39
1611666298,182.26
1611666299,182.71
1611666300,182.84
1611666301,157.58
1611666302,142.31
1611666303,142.48
1611666304,143.67
1611666305,142.19
1611666306,141.43
1611666307,142.07
1611666308,143.95
1611666309,142.27
1611666310,142.19
1611666311,221.02
1611666312,219.83
1611666313,185.71
1611666314,183.71
1611666315,184.68
1611666316,184.98
1611666317,160.62
1611666318,145.78
1611666319,145.13
1611666320,144.92
1611666321,144.2
1611666322,145.05
1611666323,145.69
1611666324,145.78
1611666325,145.9
1611666326,145.25
1611666327,219.97
1611666328,222.71
1611666329,184.18
1611666330,184.61
1611666331,184.76
1611666332,184.27
1611666333,163.19
1611666334,145.39
1611666335,145.39
1611666336,145.36
1611666337,145.29
1611666338,144.98
1611666339,145.2
1611666340,145.51
1611666341,144.7
1611666342,144.95
1611666343,215.44
1611666344,234.26
1611666345,223.65
1611666346,205.19
1611666347,159.44
1611666348,144.17
1611666349,145.15
1611666350,146.33
1611666351,144.65
1611666352,145.1
1611666353,145.15
1611666354,146.31
1611666355,145.81
1611666356,144.94
1611666357,144.62
1611666358,146.56
1611666359,211.79
1611666360,227.57
1611666361,163.08
1611666362,145.6
1611666363,145.47
1611666364,145
1611666365,144.48
1611666366,145.05
1611666367,145.34
1611666368,145.22
1611666369,145.56
1611666370,144.46
1611666371,194.93
1611666372,291.77
1611666373,275.56
1611666374,307.28
1611666375,1196.04
1611666376,1588.29
1611666377,1541.14
1611666378,1512.44
1611666379,1524.39
1611666380,1512.1
1611666381,1522.99
1611666382,1507.7
1611666383,1520.07
1611666384,1508.17
1611666385,1522.12
1611666386,1508.81
1611666387,1521.53
1611666388,1507.78
1611666389,1521.14
1611666390,1506.34
1611666391,1573.12
1611666392,1585.36
1611666393,1553.68
1611666394,1544.45
1611666395,1555.58
1611666396,1544.83
1611666397,1538.23
1611666398,1508
1611666399,1516.37
1611666400,1507.13
1611666401,1515.03
1611666402,1506.6
1611666403,1510.79
1611666404,1504.47
1611666405,1511.14
1611666406,1504.8
1611666407,1563.82
1611666408,1585.5
1611666409,1544.3
1611666410,1543.66
1611666411,1546.79
1611666412,1549.48
1611666413,1533.8
1611666414,1515.49
1611666415,1514.32
1611666416,1513.63
1611666417,1513.99
1611666418,1514.51
1611666419,1514.91
1611666420,1516.55
1611666421,1515.99
1611666422,1517.6
1611666423,1569.31
1611666424,1596.72
1611666425,1552.24
